"species","genus","family"
"Salvia fruticosa","Salvia","Lamiaceae"
"Rubus fruticosus","Rubus","Rosaceae"
"Plantago ovata","Plantago","Plantaginaceae"
"Roemeria argemone","Roemeria","Papaveraceae"
"Abies alba","Abies","Pinaceae"
"Abies cephalonica","Abies","Pinaceae"
"Abies grandis","Abies","Pinaceae"
"Abies nordmanniana","Abies","Pinaceae"
"Abies pinsapo","Abies","Pinaceae"
"Abutilon theophrasti","Abutilon","Malvaceae"
"Acacia baileyana","Acacia","Fabaceae"
"Acacia dealbata","Acacia","Fabaceae"
"Vachellia karroo","Vachellia","Fabaceae"
"Acacia longifolia","Acacia","Fabaceae"
"Acacia mearnsii","Acacia","Fabaceae"
"Acacia melanoxylon","Acacia","Fabaceae"
"Acacia pycnantha","Acacia","Fabaceae"
"Acacia retinodes","Acacia","Fabaceae"
"Acacia saligna","Acacia","Fabaceae"
"Acanthoprasium frutescens","Acanthoprasium","Lamiaceae"
"Acanthus arboreus","Acanthus","Acanthaceae"
"Acanthus mollis","Acanthus","Acanthaceae"
"Acer campestre","Acer","Sapindaceae"
"Acer cappadocicum","Acer","Sapindaceae"
"Acer japonicum","Acer","Sapindaceae"
"Acer monspessulanum","Acer","Sapindaceae"
"Acer negundo","Acer","Sapindaceae"
"Acer opalus","Acer","Sapindaceae"
"Acer palmatum","Acer","Sapindaceae"
"Acer platanoides","Acer","Sapindaceae"
"Acer pseudoplatanus","Acer","Sapindaceae"
"Acer rufinerve","Acer","Sapindaceae"
"Acer saccharinum","Acer","Sapindaceae"
"Achillea ageratum","Achillea","Asteraceae"
"Achillea atrata","Achillea","Asteraceae"
"Achillea chamaemelifolia","Achillea","Asteraceae"
"Achillea collina","Achillea","Asteraceae"
"Achillea crithmifolia","Achillea","Asteraceae"
"Achillea distans","Achillea","Asteraceae"
"Achillea erba-rotta","Achillea","Asteraceae"
"Achillea filipendulina","Achillea","Asteraceae"
"Achillea ligustica","Achillea","Asteraceae"
"Achillea macrophylla","Achillea","Asteraceae"
"Achillea maritima","Achillea","Asteraceae"
"Achillea millefolium","Achillea","Asteraceae"
"Achillea nana","Achillea","Asteraceae"
"Achillea nobilis","Achillea","Asteraceae"
"Achillea odorata","Achillea","Asteraceae"
"Achillea ptarmica","Achillea","Asteraceae"
"Achillea roseo-alba","Achillea","Asteraceae"
"Achillea tomentosa","Achillea","Asteraceae"
"Achnatherum bromoides","Achnatherum","Poaceae"
"Achnatherum calamagrostis","Achnatherum","Poaceae"
"Acis fabrei","Acis","Amaryllidaceae"
"Acis longifolia","Acis","Amaryllidaceae"
"Acis nicaeensis","Acis","Amaryllidaceae"
"Acis rosea","Acis","Amaryllidaceae"
"Aconitum anthora","Aconitum","Ranunculaceae"
"Aconitum lycoctonum","Aconitum","Ranunculaceae"
"Aconitum napellus","Aconitum","Ranunculaceae"
"Aconitum variegatum","Aconitum","Ranunculaceae"
"Acorus calamus","Acorus","Acoraceae"
"Actaea spicata","Actaea","Ranunculaceae"
"Adenocarpus complicatus","Adenocarpus","Fabaceae"
"Adenocarpus telonensis","Adenocarpus","Fabaceae"
"Adenostyles alliariae","Adenostyles","Asteraceae"
"Adenostyles alpina","Adenostyles","Asteraceae"
"Adenostyles leucophylla","Adenostyles","Asteraceae"
"Adiantum capillus-veneris","Adiantum","Pteridaceae"
"Adiantum raddianum","Adiantum","Pteridaceae"
"Adonis aestivalis","Adonis","Ranunculaceae"
"Adonis annua","Adonis","Ranunculaceae"
"Adonis flammea","Adonis","Ranunculaceae"
"Adonis microcarpa","Adonis","Ranunculaceae"
"Adonis pyrenaica","Adonis","Ranunculaceae"
"Adonis vernalis","Adonis","Ranunculaceae"
"Adoxa moschatellina","Adoxa","Viburnaceae"
"Aegilops biuncialis","Aegilops","Poaceae"
"Aegilops caudata","Aegilops","Poaceae"
"Aegilops crassa","Aegilops","Poaceae"
"Aegilops cylindrica","Aegilops","Poaceae"
"Aegilops geniculata","Aegilops","Poaceae"
"Aegilops juvenalis","Aegilops","Poaceae"
"Aegilops neglecta","Aegilops","Poaceae"
"Aegilops speltoides","Aegilops","Poaceae"
"Aegilops triuncialis","Aegilops","Poaceae"
"Aegilops ventricosa","Aegilops","Poaceae"
"Aegopodium podagraria","Aegopodium","Apiaceae"
"Aeluropus littoralis","Aeluropus","Poaceae"
"Aeonium haworthii","Aeonium","Crassulaceae"
"Aesculus carnea","Aesculus","Sapindaceae"
"Aesculus hippocastanum","Aesculus","Sapindaceae"
"Aethionema monospermum","Aethionema","Brassicaceae"
"Aethionema saxatile","Aethionema","Brassicaceae"
"Aethionema thomasianum","Aethionema","Brassicaceae"
"Aethusa cynapium","Aethusa","Apiaceae"
"Agave americana","Agave","Asparagaceae"
"Agave salmiana","Agave","Asparagaceae"
"Ageratina adenophora","Ageratina","Asteraceae"
"Agrimonia eupatoria","Agrimonia","Rosaceae"
"Agrimonia procera","Agrimonia","Rosaceae"
"Agropyron cristatum","Agropyron","Poaceae"
"Agrostemma githago","Agrostemma","Caryophyllaceae"
"Agrostis alpina","Agrostis","Poaceae"
"Agrostis canina","Agrostis","Poaceae"
"Agrostis capillaris","Agrostis","Poaceae"
"Agrostis castellana","Agrostis","Poaceae"
"Agrostis curtisii","Agrostis","Poaceae"
"Agrostis gigantea","Agrostis","Poaceae"
"Agrostis hesperica","Agrostis","Poaceae"
"Agrostis marysae-tortiae","Agrostis","Poaceae"
"Agrostis rupestris","Agrostis","Poaceae"
"Agrostis scabra","Agrostis","Poaceae"
"Agrostis schleicheri","Agrostis","Poaceae"
"Agrostis schraderiana","Agrostis","Poaceae"
"Agrostis stolonifera","Agrostis","Poaceae"
"Agrostis vinealis","Agrostis","Poaceae"
"Ailanthus altissima","Ailanthus","Simaroubaceae"
"Aira armoricana","Aira","Poaceae"
"Aira caryophyllea","Aira","Poaceae"
"Aira cupaniana","Aira","Poaceae"
"Aira elegantissima","Aira","Poaceae"
"Aira multiculmis","Aira","Poaceae"
"Aira praecox","Aira","Poaceae"
"Aira provincialis","Aira","Poaceae"
"Aira tenorei","Aira","Poaceae"
"Airopsis tenella","Airopsis","Poaceae"
"Ajuga chamaepitys","Ajuga","Lamiaceae"
"Ajuga genevensis","Ajuga","Lamiaceae"
"Ajuga iva","Ajuga","Lamiaceae"
"Ajuga pyramidalis","Ajuga","Lamiaceae"
"Ajuga reptans","Ajuga","Lamiaceae"
"Akebia quinata","Akebia","Lardizabalaceae"
"Albizia julibrissin","Albizia","Fabaceae"
"Alcea biennis","Alcea","Malvaceae"
"Alcea rosea","Alcea","Malvaceae"
"Alchemilla acutiloba","Alchemilla","Rosaceae"
"Alchemilla alpigena","Alchemilla","Rosaceae"
"Alchemilla alpina","Alchemilla","Rosaceae"
"Alchemilla amphisericea","Alchemilla","Rosaceae"
"Alchemilla borderei","Alchemilla","Rosaceae"
"Alchemilla colorata","Alchemilla","Rosaceae"
"Alchemilla conjuncta","Alchemilla","Rosaceae"
"Alchemilla connivens","Alchemilla","Rosaceae"
"Alchemilla controversa","Alchemilla","Rosaceae"
"Alchemilla coriacea","Alchemilla","Rosaceae"
"Alchemilla crinita","Alchemilla","Rosaceae"
"Alchemilla decumbens","Alchemilla","Rosaceae"
"Alchemilla demissa","Alchemilla","Rosaceae"
"Alchemilla diluta","Alchemilla","Rosaceae"
"Alchemilla fallax","Alchemilla","Rosaceae"
"Alchemilla filicaulis","Alchemilla","Rosaceae"
"Alchemilla fissa","Alchemilla","Rosaceae"
"Alchemilla flabellata","Alchemilla","Rosaceae"
"Alchemilla flexicaulis","Alchemilla","Rosaceae"
"Alchemilla frigens","Alchemilla","Rosaceae"
"Alchemilla fulgens","Alchemilla","Rosaceae"
"Alchemilla glabra","Alchemilla","Rosaceae"
"Alchemilla glacialis","Alchemilla","Rosaceae"
"Alchemilla glaucescens","Alchemilla","Rosaceae"
"Alchemilla glomerulans","Alchemilla","Rosaceae"
"Alchemilla grenieri","Alchemilla","Rosaceae"
"Alchemilla grossidens","Alchemilla","Rosaceae"
"Alchemilla heteropoda","Alchemilla","Rosaceae"
"Alchemilla hoppeana","Alchemilla","Rosaceae"
"Alchemilla hybrida","Alchemilla","Rosaceae"
"Alchemilla incisa","Alchemilla","Rosaceae"
"Alchemilla leptoclada","Alchemilla","Rosaceae"
"Alchemilla mollis","Alchemilla","Rosaceae"
"Alchemilla monticola","Alchemilla","Rosaceae"
"Alchemilla montserratii","Alchemilla","Rosaceae"
"Alchemilla obscura","Alchemilla","Rosaceae"
"Alchemilla ozana","Alchemilla","Rosaceae"
"Alchemilla pallens","Alchemilla","Rosaceae"
"Alchemilla pentaphyllea","Alchemilla","Rosaceae"
"Alchemilla petiolulans","Alchemilla","Rosaceae"
"Alchemilla plicata","Alchemilla","Rosaceae"
"Alchemilla polatschekiana","Alchemilla","Rosaceae"
"Alchemilla propinqua","Alchemilla","Rosaceae"
"Alchemilla reflexa","Alchemilla","Rosaceae"
"Alchemilla reniformis","Alchemilla","Rosaceae"
"Alchemilla saxatilis","Alchemilla","Rosaceae"
"Alchemilla schmidelyana","Alchemilla","Rosaceae"
"Alchemilla splendens","Alchemilla","Rosaceae"
"Alchemilla strigosula","Alchemilla","Rosaceae"
"Alchemilla subcrenata","Alchemilla","Rosaceae"
"Alchemilla subglobosa","Alchemilla","Rosaceae"
"Alchemilla subsericea","Alchemilla","Rosaceae"
"Alchemilla transiens","Alchemilla","Rosaceae"
"Alchemilla trunciloba","Alchemilla","Rosaceae"
"Alchemilla vetteri","Alchemilla","Rosaceae"
"Alchemilla xanthochlora","Alchemilla","Rosaceae"
"Alisma gramineum","Alisma","Alismataceae"
"Alisma lanceolatum","Alisma","Alismataceae"
"Alisma plantago-aquatica","Alisma","Alismataceae"
"Alkanna lutea","Alkanna","Boraginaceae"
"Alkanna matthioli","Alkanna","Boraginaceae"
"Alliaria petiolata","Alliaria","Brassicaceae"
"Allium acutiflorum","Allium","Amaryllidaceae"
"Allium ampeloprasum","Allium","Amaryllidaceae"
"Allium angulosum","Allium","Amaryllidaceae"
"Allium carinatum","Allium","Amaryllidaceae"
"Allium cepa","Allium","Amaryllidaceae"
"Allium chamaemoly","Allium","Amaryllidaceae"
"Allium coloratum","Allium","Amaryllidaceae"
"Allium commutatum","Allium","Amaryllidaceae"
"Allium consimile","Allium","Amaryllidaceae"
"Allium corsicum","Allium","Amaryllidaceae"
"Allium cyrilli","Allium","Amaryllidaceae"
"Allium ericetorum","Allium","Amaryllidaceae"
"Allium fistulosum","Allium","Amaryllidaceae"
"Allium flavum","Allium","Amaryllidaceae"
"Allium flexum","Allium","Amaryllidaceae"
"Allium longispathum","Allium","Amaryllidaceae"
"Allium lusitanicum","Allium","Amaryllidaceae"
"Allium moly","Allium","Amaryllidaceae"
"Allium moschatum","Allium","Amaryllidaceae"
"Allium multibulbosum","Allium","Amaryllidaceae"
"Allium narcissiflorum","Allium","Amaryllidaceae"
"Allium neapolitanum","Allium","Amaryllidaceae"
"Allium nigrum","Allium","Amaryllidaceae"
"Allium oleraceum","Allium","Amaryllidaceae"
"Allium oporinanthum","Allium","Amaryllidaceae"
"Allium pallens","Allium","Amaryllidaceae"
"Allium parciflorum","Allium","Amaryllidaceae"
"Allium pendulinum","Allium","Amaryllidaceae"
"Allium polyanthum","Allium","Amaryllidaceae"
"Allium roseum","Allium","Amaryllidaceae"
"Allium rotundum","Allium","Amaryllidaceae"
"Allium sativum","Allium","Amaryllidaceae"
"Allium savii","Allium","Amaryllidaceae"
"Allium scaberrimum","Allium","Amaryllidaceae"
"Allium schoenoprasum","Allium","Amaryllidaceae"
"Allium scorodoprasum","Allium","Amaryllidaceae"
"Allium siculum","Allium","Amaryllidaceae"
"Allium sphaerocephalon","Allium","Amaryllidaceae"
"Allium strictum","Allium","Amaryllidaceae"
"Allium suaveolens","Allium","Amaryllidaceae"
"Allium subhirsutum","Allium","Amaryllidaceae"
"Allium tenuiflorum","Allium","Amaryllidaceae"
"Allium trifoliatum","Allium","Amaryllidaceae"
"Allium triquetrum","Allium","Amaryllidaceae"
"Allium ursinum","Allium","Amaryllidaceae"
"Allium victorialis","Allium","Amaryllidaceae"
"Allium vineale","Allium","Amaryllidaceae"
"Oeosporangium acrosticum","Oeosporangium","Pteridaceae"
"Oeosporangium guanchicum","Oeosporangium","Pteridaceae"
"Oeosporangium hispanicum","Oeosporangium","Pteridaceae"
"Oeosporangium pteridioides","Oeosporangium","Pteridaceae"
"Oeosporangium tinaei","Oeosporangium","Pteridaceae"
"Alnus alnobetula","Alnus","Betulaceae"
"Alnus cordata","Alnus","Betulaceae"
"Alnus glutinosa","Alnus","Betulaceae"
"Alnus incana","Alnus","Betulaceae"
"Aloe arborescens","Aloe","Asphodelaceae"
"Aloe maculata","Aloe","Asphodelaceae"
"Alopecurus aequalis","Alopecurus","Poaceae"
"Alopecurus arundinaceus","Alopecurus","Poaceae"
"Alopecurus bulbosus","Alopecurus","Poaceae"
"Alopecurus geniculatus","Alopecurus","Poaceae"
"Alopecurus gerardi","Alopecurus","Poaceae"
"Alopecurus myosuroides","Alopecurus","Poaceae"
"Alopecurus pratensis","Alopecurus","Poaceae"
"Alopecurus rendlei","Alopecurus","Poaceae"
"Aloysia citrodora","Aloysia","Verbenaceae"
"Alternanthera philoxeroides","Alternanthera","Amaranthaceae"
"Althaea cannabina","Althaea","Malvaceae"
"Althaea officinalis","Althaea","Malvaceae"
"Althenia filiformis","Althenia","Potamogetonaceae"
"Alyssoides utriculata","Alyssoides","Brassicaceae"
"Alyssum alpestre","Alyssum","Brassicaceae"
"Alyssum alyssoides","Alyssum","Brassicaceae"
"Alyssum cacuminum","Alyssum","Brassicaceae"
"Alyssum corsicum","Alyssum","Brassicaceae"
"Alyssum flexicaule","Alyssum","Brassicaceae"
"Alyssum loiseleurii","Alyssum","Brassicaceae"
"Alyssum montanum","Alyssum","Brassicaceae"
"Alyssum orophilum","Alyssum","Brassicaceae"
"Alyssum rhodanense","Alyssum","Brassicaceae"
"Alyssum robertianum","Alyssum","Brassicaceae"
"Alyssum serpyllifolium","Alyssum","Brassicaceae"
"Alyssum simplex","Alyssum","Brassicaceae"
"Amaranthus albus","Amaranthus","Amaranthaceae"
"Amaranthus blitoides","Amaranthus","Amaranthaceae"
"Amaranthus blitum","Amaranthus","Amaranthaceae"
"Amaranthus caudatus","Amaranthus","Amaranthaceae"
"Amaranthus cruentus","Amaranthus","Amaranthaceae"
"Amaranthus deflexus","Amaranthus","Amaranthaceae"
"Amaranthus graecizans","Amaranthus","Amaranthaceae"
"Amaranthus hybridus","Amaranthus","Amaranthaceae"
"Amaranthus hypochondriacus","Amaranthus","Amaranthaceae"
"Amaranthus muricatus","Amaranthus","Amaranthaceae"
"Amaranthus retroflexus","Amaranthus","Amaranthaceae"
"Amaranthus spinosus","Amaranthus","Amaranthaceae"
"Amaranthus viridis","Amaranthus","Amaranthaceae"
"Amaryllis belladonna","Amaryllis","Amaryllidaceae"
"Ambrosia artemisiifolia","Ambrosia","Asteraceae"
"Ambrosia psilostachya","Ambrosia","Asteraceae"
"Ambrosia tenuifolia","Ambrosia","Asteraceae"
"Ambrosia trifida","Ambrosia","Asteraceae"
"Ambrosina bassii","Ambrosina","Araceae"
"Amelanchier lamarckii","Amelanchier","Rosaceae"
"Amelanchier ovalis","Amelanchier","Rosaceae"
"Amelanchier spicata","Amelanchier","Rosaceae"
"Amelichloa ambigua","Amelichloa","Poaceae"
"Amelichloa brachychaeta","Amelichloa","Poaceae"
"Amelichloa caudata","Amelichloa","Poaceae"
"Ammannia coccinea","Ammannia","Lythraceae"
"Ammannia robusta","Ammannia","Lythraceae"
"Ammi majus","Ammi","Apiaceae"
"Ammoides pusilla","Ammoides","Apiaceae"
"Ammophila arenaria","Ammophila","Poaceae"
"Amorpha fruticosa","Amorpha","Fabaceae"
"Ampelodesmos mauritanicus","Ampelodesmos","Poaceae"
"Amsinckia calycina","Amsinckia","Boraginaceae"
"Amsinckia lycopsoides","Amsinckia","Boraginaceae"
"Anacamptis collina","Anacamptis","Orchidaceae"
"Anacamptis coriophora","Anacamptis","Orchidaceae"
"Anacamptis fragrans","Anacamptis","Orchidaceae"
"Anacamptis laxiflora","Anacamptis","Orchidaceae"
"Anacamptis morio","Anacamptis","Orchidaceae"
"Anacamptis palustris","Anacamptis","Orchidaceae"
"Anacamptis papilionacea","Anacamptis","Orchidaceae"
"Anacamptis pyramidalis","Anacamptis","Orchidaceae"
"Anacyclus clavatus","Anacyclus","Asteraceae"
"Anacyclus radiatus","Anacyclus","Asteraceae"
"Anacyclus valentinus","Anacyclus","Asteraceae"
"Anagyris foetida","Anagyris","Fabaceae"
"Anarrhinum bellidifolium","Anarrhinum","Plantaginaceae"
"Anarrhinum corsicum","Anarrhinum","Plantaginaceae"
"Anarrhinum laxiflorum","Anarrhinum","Plantaginaceae"
"Anchusa crispa","Anchusa","Boraginaceae"
"Anchusa azurea","Anchusa","Boraginaceae"
"Anchusa ochroleuca","Anchusa","Boraginaceae"
"Anchusa officinalis","Anchusa","Boraginaceae"
"Anchusa procera","Anchusa","Boraginaceae"
"Anchusa undulata","Anchusa","Boraginaceae"
"Andrachne telephioides","Andrachne","Phyllanthaceae"
"Andromeda polifolia","Andromeda","Ericaceae"
"Andropogon distachyos","Andropogon","Poaceae"
"Andropogon virginicus","Andropogon","Poaceae"
"Androsace adfinis","Androsace","Primulaceae"
"Androsace alpina","Androsace","Primulaceae"
"Androsace laggeri","Androsace","Primulaceae"
"Androsace chaixii","Androsace","Primulaceae"
"Androsace ciliata","Androsace","Primulaceae"
"Androsace cylindrica","Androsace","Primulaceae"
"Androsace elongata","Androsace","Primulaceae"
"Androsace halleri","Androsace","Primulaceae"
"Androsace helvetica","Androsace","Primulaceae"
"Androsace lactea","Androsace","Primulaceae"
"Androsace maxima","Androsace","Primulaceae"
"Androsace obtusifolia","Androsace","Primulaceae"
"Androsace pubescens","Androsace","Primulaceae"
"Androsace pyrenaica","Androsace","Primulaceae"
"Androsace septentrionalis","Androsace","Primulaceae"
"Androsace argentea","Androsace","Primulaceae"
"Androsace villosa","Androsace","Primulaceae"
"Androsace vitaliana","Androsace","Primulaceae"
"Andryala integrifolia","Andryala","Asteraceae"
"Andryala ragusina","Andryala","Asteraceae"
"Pulsatilla alpina","Pulsatilla","Ranunculaceae"
"Anemone apennina","Anemone","Ranunculaceae"
"Anemone baldensis","Anemone","Ranunculaceae"
"Anemone blanda","Anemone","Ranunculaceae"
"Anemone coronaria","Anemone","Ranunculaceae"
"Pulsatilla halleri","Pulsatilla","Ranunculaceae"
"Hepatica nobilis","Hepatica","Ranunculaceae"
"Anemone hortensis","Anemone","Ranunculaceae"
"Pulsatilla montana","Pulsatilla","Ranunculaceae"
"Anemonastrum narcissiflorum","Anemonastrum","Ranunculaceae"
"Anemone nemorosa","Anemone","Ranunculaceae"
"Anemone palmata","Anemone","Ranunculaceae"
"Pulsatilla vulgaris","Pulsatilla","Ranunculaceae"
"Anemone ranunculoides","Anemone","Ranunculaceae"
"Pulsatilla rubra","Pulsatilla","Ranunculaceae"
"Pulsatilla scherfelii","Pulsatilla","Ranunculaceae"
"Anemone sylvestris","Anemone","Ranunculaceae"
"Anemone trifolia","Anemone","Ranunculaceae"
"Pulsatilla vernalis","Pulsatilla","Ranunculaceae"
"Anethum graveolens","Anethum","Apiaceae"
"Angelica archangelica","Angelica","Apiaceae"
"Angelica heterocarpa","Angelica","Apiaceae"
"Angelica razulii","Angelica","Apiaceae"
"Angelica sylvestris","Angelica","Apiaceae"
"Anisantha diandra","Anisantha","Poaceae"
"Anisantha fasciculata","Anisantha","Poaceae"
"Anisantha madritensis","Anisantha","Poaceae"
"Anisantha rigida","Anisantha","Poaceae"
"Anisantha rubens","Anisantha","Poaceae"
"Anisantha sterilis","Anisantha","Poaceae"
"Anisantha tectorum","Anisantha","Poaceae"
"Anisosciadium orientale","Anisosciadium","Apiaceae"
"Anoda cristata","Anoda","Malvaceae"
"Anogramma leptophylla","Anogramma","Pteridaceae"
"Anredera cordifolia","Anredera","Basellaceae"
"Antennaria carpatica","Antennaria","Asteraceae"
"Antennaria dioica","Antennaria","Asteraceae"
"Anthemis arvensis","Anthemis","Asteraceae"
"Anthemis cotula","Anthemis","Asteraceae"
"Anthemis cretica","Anthemis","Asteraceae"
"Anthemis maritima","Anthemis","Asteraceae"
"Anthemis ruthenica","Anthemis","Asteraceae"
"Anthemis secundiramea","Anthemis","Asteraceae"
"Anthericum liliago","Anthericum","Asparagaceae"
"Anthericum ramosum","Anthericum","Asparagaceae"
"Anthoxanthum alpinum","Anthoxanthum","Poaceae"
"Anthoxanthum aristatum","Anthoxanthum","Poaceae"
"Anthoxanthum odoratum","Anthoxanthum","Poaceae"
"Anthoxanthum ovatum","Anthoxanthum","Poaceae"
"Anthriscus caucalis","Anthriscus","Apiaceae"
"Anthriscus cerefolium","Anthriscus","Apiaceae"
"Anthriscus nitida","Anthriscus","Apiaceae"
"Anthriscus sylvestris","Anthriscus","Apiaceae"
"Anthyllis barba-jovis","Anthyllis","Fabaceae"
"Anthyllis circinnata","Anthyllis","Fabaceae"
"Anthyllis cytisoides","Anthyllis","Fabaceae"
"Anthyllis hermanniae","Anthyllis","Fabaceae"
"Anthyllis montana","Anthyllis","Fabaceae"
"Anthyllis vulneraria","Anthyllis","Fabaceae"
"Antinoria agrostidea","Antinoria","Poaceae"
"Antinoria insularis","Antinoria","Poaceae"
"Antirrhinum majus","Antirrhinum","Plantaginaceae"
"Antirrhinum sempervirens","Antirrhinum","Plantaginaceae"
"Apera interrupta","Apera","Poaceae"
"Apera spica-venti","Apera","Poaceae"
"Aphanes arvensis","Aphanes","Rosaceae"
"Aphanes australis","Aphanes","Rosaceae"
"Aphanes floribunda","Aphanes","Rosaceae"
"Aphanes minutiflora","Aphanes","Rosaceae"
"Aphyllanthes monspeliensis","Aphyllanthes","Asparagaceae"
"Apios americana","Apios","Fabaceae"
"Apium graveolens","Apium","Apiaceae"
"Aponogeton distachyos","Aponogeton","Aponogetonaceae"
"Aposeris foetida","Aposeris","Asteraceae"
"Mesembryanthemum cordifolium","Mesembryanthemum","Aizoaceae"
"Aquilegia alpina","Aquilegia","Ranunculaceae"
"Aquilegia atrata","Aquilegia","Ranunculaceae"
"Aquilegia bernardi","Aquilegia","Ranunculaceae"
"Aquilegia dumeticola","Aquilegia","Ranunculaceae"
"Aquilegia hirsutissima","Aquilegia","Ranunculaceae"
"Aquilegia litardierei","Aquilegia","Ranunculaceae"
"Aquilegia pyrenaica","Aquilegia","Ranunculaceae"
"Aquilegia reuteri","Aquilegia","Ranunculaceae"
"Aquilegia viscosa","Aquilegia","Ranunculaceae"
"Aquilegia vulgaris","Aquilegia","Ranunculaceae"
"Arabidopsis arenosa","Arabidopsis","Brassicaceae"
"Arabidopsis cebennensis","Arabidopsis","Brassicaceae"
"Arabidopsis halleri","Arabidopsis","Brassicaceae"
"Arabidopsis thaliana","Arabidopsis","Brassicaceae"
"Arabis allionii","Arabis","Brassicaceae"
"Arabis alpina","Arabis","Brassicaceae"
"Arabis auriculata","Arabis","Brassicaceae"
"Arabis bellidifolia","Arabis","Brassicaceae"
"Arabis caerulea","Arabis","Brassicaceae"
"Arabis caucasica","Arabis","Brassicaceae"
"Arabis ciliata","Arabis","Brassicaceae"
"Arabis collina","Arabis","Brassicaceae"
"Arabis hirsuta","Arabis","Brassicaceae"
"Arabis nova","Arabis","Brassicaceae"
"Arabis parvula","Arabis","Brassicaceae"
"Arabis planisiliqua","Arabis","Brassicaceae"
"Arabis sagittata","Arabis","Brassicaceae"
"Arabis scabra","Arabis","Brassicaceae"
"Arabis serpillifolia","Arabis","Brassicaceae"
"Arabis soyeri","Arabis","Brassicaceae"
"Arabis verna","Arabis","Brassicaceae"
"Araucaria araucana","Araucaria","Araucariaceae"
"Araujia sericifera","Araujia","Apocynaceae"
"Arbutus unedo","Arbutus","Ericaceae"
"Arceuthobium gambyi","Arceuthobium","Viscaceae"
"Arceuthobium oxycedri","Arceuthobium","Viscaceae"
"Arctium lappa","Arctium","Asteraceae"
"Arctium minus","Arctium","Asteraceae"
"Arctium nemorosum","Arctium","Asteraceae"
"Arctium tomentosum","Arctium","Asteraceae"
"Arctostaphylos alpina","Arctostaphylos","Ericaceae"
"Arctostaphylos uva-ursi","Arctostaphylos","Ericaceae"
"Arctotheca calendula","Arctotheca","Asteraceae"
"Arenaria aggregata","Arenaria","Caryophyllaceae"
"Arenaria balearica","Arenaria","Caryophyllaceae"
"Arenaria bertolonii","Arenaria","Caryophyllaceae"
"Arenaria biflora","Arenaria","Caryophyllaceae"
"Arenaria cerastioides","Arenaria","Caryophyllaceae"
"Arenaria ciliata","Arenaria","Caryophyllaceae"
"Arenaria cinerea","Arenaria","Caryophyllaceae"
"Arenaria controversa","Arenaria","Caryophyllaceae"
"Arenaria grandiflora","Arenaria","Caryophyllaceae"
"Arenaria hispida","Arenaria","Caryophyllaceae"
"Arenaria leptoclados","Arenaria","Caryophyllaceae"
"Arenaria ligericina","Arenaria","Caryophyllaceae"
"Arenaria marschlinsii","Arenaria","Caryophyllaceae"
"Arenaria modesta","Arenaria","Caryophyllaceae"
"Arenaria montana","Arenaria","Caryophyllaceae"
"Arenaria multicaulis","Arenaria","Caryophyllaceae"
"Arenaria provincialis","Arenaria","Caryophyllaceae"
"Arenaria purpurascens","Arenaria","Caryophyllaceae"
"Arenaria serpyllifolia","Arenaria","Caryophyllaceae"
"Arenaria tetraquetra","Arenaria","Caryophyllaceae"
"Argentina anserina","Argentina","Rosaceae"
"Argyrolobium zanonii","Argyrolobium","Fabaceae"
"Arisarum vulgare","Arisarum","Araceae"
"Aristavena setacea","Aristavena","Poaceae"
"Aristolochia clematitis","Aristolochia","Aristolochiaceae"
"Aristolochia clusii","Aristolochia","Aristolochiaceae"
"Aristolochia pallida","Aristolochia","Aristolochiaceae"
"Aristolochia paucinervis","Aristolochia","Aristolochiaceae"
"Aristolochia pistolochia","Aristolochia","Aristolochiaceae"
"Aristolochia rotunda","Aristolochia","Aristolochiaceae"
"Aristolochia tyrrhena","Aristolochia","Aristolochiaceae"
"Armeria alpina","Armeria","Plumbaginaceae"
"Armeria arenaria","Armeria","Plumbaginaceae"
"Armeria belgenciensis","Armeria","Plumbaginaceae"
"Armeria bubanii","Armeria","Plumbaginaceae"
"Armeria girardii","Armeria","Plumbaginaceae"
"Armeria leucocephala","Armeria","Plumbaginaceae"
"Armeria malinvaudii","Armeria","Plumbaginaceae"
"Armeria maritima","Armeria","Plumbaginaceae"
"Armeria muelleri","Armeria","Plumbaginaceae"
"Armeria multiceps","Armeria","Plumbaginaceae"
"Armeria pubinervis","Armeria","Plumbaginaceae"
"Armeria pungens","Armeria","Plumbaginaceae"
"Armeria ruscinonensis","Armeria","Plumbaginaceae"
"Armeria soleirolii","Armeria","Plumbaginaceae"
"Armeria vulgaris","Armeria","Plumbaginaceae"
"Armoracia rusticana","Armoracia","Brassicaceae"
"Arnica montana","Arnica","Asteraceae"
"Arnoseris minima","Arnoseris","Asteraceae"
"Aronia prunifolia","Aronia","Rosaceae"
"Arrhenatherum elatius","Arrhenatherum","Poaceae"
"Artedia squamata","Artedia","Apiaceae"
"Artemisia absinthium","Artemisia","Asteraceae"
"Artemisia alba","Artemisia","Asteraceae"
"Artemisia annua","Artemisia","Asteraceae"
"Artemisia arborescens","Artemisia","Asteraceae"
"Artemisia armeniaca","Artemisia","Asteraceae"
"Artemisia atrata","Artemisia","Asteraceae"
"Artemisia biennis","Artemisia","Asteraceae"
"Artemisia borealis","Artemisia","Asteraceae"
"Artemisia caerulescens","Artemisia","Asteraceae"
"Artemisia campestris","Artemisia","Asteraceae"
"Artemisia chamaemelifolia","Artemisia","Asteraceae"
